"salary","age","elevel","car","zipcode","credit"
0.678362107570717,0.241050350038951,"3","15","4",0.726725889984844
1.48229566691834,-0.327518928774069,"4","20","7",1.00463053766478
0.907420057326559,-0.0432342893675591,"2","1","3",-0.878295317351222
-1.7153889549159,0.354764205801555,"0","9","1",-1.03276602509309
0.24078273959867,0.525334989445461,"1","15","1",1.44375064296729
-1.15026543948862,1.20761812402108,"2","7","2",-0.224319888647561
0.263246787287587,-1.00980206334969,"1","17","1",-0.11136544154677
-1.33422259043834,-0.952945135468391,"4","17","0",1.38876141676147
1.14915442930208,-1.00980206334969,"1","19","2",-1.57670656201282
0.421983623088864,0.468478061564159,"2","8","4",0.30172450334164
-0.925490860305304,-1.57837134216271,"1","12","1",-0.643358468013775
0.256596554707778,-0.156948145130163,"4","12","2",-1.0269834530854
-0.13795110803932,-0.498089712417975,"2","1","3",0.953239370500005
0.0590491158620651,-0.554946640299277,"4","9","2",1.44166882651187
1.11336298786563,0.695905773089367,"3","4","4",-0.263364845440269
-1.47519528154114,0.468478061564159,"1","13","3",-1.51326479355913
1.65866529305239,-1.2372297748749,"4","6","8",0.502367831641727
-0.330816756311248,-0.725517423943183,"3","15","8",1.06085207593066
-0.865544749263502,-0.327518928774069,"3","9","6",-1.21203084617223
-1.30170414074712,0.411621133682857,"3","10","8",-1.08730520988342
0.423623167498338,-0.611803568180579,"0","5","2",0.349811235611721
0.368372958829225,1.5487596913089,"1","12","6",-0.757088028867994
1.47679506481708,1.32133197978369,"2","8","1",-0.442625735478215
0.646766088184092,-1.06665899123099,"2","17","0",-0.572842438168024
0.855913964523088,-1.1235159191123,"3","6","7",0.0745869278769159
-1.14854919880636,0.184193422157649,"2","10","5",-1.67150983893937
-0.760053432015675,1.09390426825848,"4","2","8",-1.43304276525548
-0.149427226964083,1.43504583554629,"2","4","0",1.45997519900399
1.35786395960689,0.354764205801555,"0","12","6",-0.667420468193142
-0.465622032925657,-1.1235159191123,"2","11","6",1.4200321821149
-1.6398932086657,1.26447505190239,"2","6","1",0.497727068287265
-1.44529341016915,-0.498089712417975,"0","19","4",1.5997265819927
0.842111820045555,0.0136226385137429,"2","10","1",-0.341259636109578
0.251880167585166,-1.2940867027562,"3","18","4",1.06293966689819
0.166002423358587,1.43504583554629,"3","10","6",0.546711534406205
0.253741525022698,0.980190412495877,"3","8","5",0.709761223173753
-0.0263187737676857,-1.69208519792532,"4","5","8",-1.36672622264699
-0.924573338659506,1.26447505190239,"4","12","6",1.62229279385741
-1.52167915434401,-1.1235159191123,"0","17","8",-0.111849768058807
-0.306920771014207,-1.2940867027562,"0","2","1",-1.37593904086975
-1.17558302532651,0.241050350038951,"2","14","0",1.3004881772845
-0.968822532510729,-1.40780055851881,"4","6","3",-0.480465669125947
-1.04037537491024,-0.952945135468391,"1","14","2",-0.763693912078622
-1.44103847479735,1.7193304749528,"0","5","3",1.60188118337289
-1.36710706478139,-1.3509436306375,"1","18","6",1.5618988126182
-0.782740411847606,0.525334989445461,"2","7","6",1.39058558113576
0.423453885160305,1.5487596913089,"3","14","7",-0.785733823929173
-1.34702830680476,-0.441232784536673,"1","15","5",0.617978616388699
-1.33061269853852,1.09390426825848,"4","15","8",-0.487072511766382
-0.911273473394174,-0.213805073011465,"2","11","5",-0.644776088664472
-1.27176806111766,0.923333484614575,"0","15","3",0.249899083485894
-0.728951663361867,0.639048845208065,"3","2","7",0.0341236979384732
0.484279380653175,-1.57837134216271,"0","11","6",-1.58094171610488
-0.0140508491384427,-0.554946640299277,"4","7","7",-0.0621435417262229
-1.05468710524889,0.0704795663950449,"3","8","2",-1.51146941132033
-1.36462955216736,1.37818890766499,"1","2","2",1.32846519597061
1.4103671491867,-1.46465748640011,"1","19","7",-1.48498727111145
1.62679833463871,1.37818890766499,"2","10","5",0.658265535408553
0.383177702288096,-0.896088207587089,"0","9","2",-1.67840028072618
-0.361600996793535,0.752762700970669,"0","6","5",-1.2605055996527
-0.351857001201894,-1.06665899123099,"1","14","0",-0.611005774152646
0.0451703216643887,0.297907277920253,"3","8","7",0.911048913774546
0.292369419259162,-0.327518928774069,"3","16","4",1.52214206443931
-0.143188873653921,-1.2940867027562,"4","6","7",1.48692262190542
-1.19559332658365,1.49190276342759,"1","5","6",0.537496997417709
-1.15678373923324,-1.40780055851881,"4","6","1",-1.09787636171968
0.23768659023488,1.15076119613978,"2","9","3",0.573063883902681
0.746526616645956,-0.270662000892767,"3","16","1",0.802040444897469
-1.39701423627759,-1.40780055851881,"3","4","3",-1.20916530130453
-1.7153889549159,1.03704734037718,"0","3","0",-0.244635913437281
-1.20245959966379,-1.1235159191123,"2","8","2",0.119524165923799
0.740599388667384,-0.100091217248861,"4","14","8",1.09145101211511
-1.22571609183351,-0.100091217248861,"1","10","3",-1.71995242666305
-1.06924341312251,-1.00980206334969,"3","10","8",-0.390997127024677
1.10788859014129,-1.2372297748749,"2","20","8",-0.68777560336987
1.37092900646404,-1.46465748640011,"1","8","4",-0.254517880426306
-0.819164588343048,0.241050350038951,"4","11","5",-1.10445268987099
1.28118617033596,1.26447505190239,"1","9","3",1.58076721784955
1.0115116162162,0.184193422157649,"4","18","0",-0.302219230918088
-1.15958038026589,1.5487596913089,"4","3","1",-0.0200237000001741
-1.19166005119494,0.752762700970669,"0","3","0",-0.705939491913928
-0.816501462935443,-1.1803728469936,"3","4","7",-0.085223002324867
-0.794709232042786,-0.156948145130163,"4","16","5",0.683596806732633
1.47357217773436,-0.270662000892767,"2","16","7",0.646006871799297
